block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	2	4	80	255	165	0	6	1	0	0	876.96	1	0
1	2	2	3	50	255	255	255	3	1	0	0	1115.4	1	1
1	3	2	4	80	255	165	0	6	0	0	1	0	-1	-1
1	4	2	2	50	0	0	128	5	2	0	0	1240.6	1	1
1	5	2	4	80	255	165	0	6	1	0	0	901.9	0	0
1	6	2	3	50	255	255	255	3	2	0	0	1526.9	1	0
1	7	2	5	80	0	128	0	4	2	0	0	843.78	0	0
1	8	2	5	80	0	128	0	4	1	0	0	1288.1	1	1
1	9	2	1	50	173	255	47	2	1	0	0	955.98	1	0
1	10	2	1	50	173	255	47	2	2	0	0	1299.7	0	1
1	11	2	1	50	173	255	47	2	1	0	0	943.12	0	0
1	12	2	4	80	255	165	0	6	1	0	0	1276.9	0	0
1	13	2	6	80	255	0	0	1	1	0	0	1222.9	1	1
1	14	2	4	80	255	165	0	6	1	0	0	843.86	0	0
1	15	2	1	50	173	255	47	2	1	0	0	888.04	1	0
1	16	2	1	50	173	255	47	2	1	0	0	1023.3	1	0
1	17	2	3	50	255	255	255	3	2	0	0	1153.9	0	0
1	18	2	5	80	0	128	0	4	2	0	0	882.6	0	0
1	19	2	3	50	255	255	255	3	2	0	0	1426.9	1	0
1	20	2	2	50	0	0	128	5	2	0	0	962.8099999999999	1	1
1	21	2	5	80	0	128	0	4	2	0	0	1284.6	0	0
1	22	2	3	50	255	255	255	3	2	0	0	819.14	1	0
1	23	2	4	80	255	165	0	6	2	0	0	1004.6	0	1
1	24	2	3	50	255	255	255	3	1	0	0	1307.1	0	1
1	25	2	2	50	0	0	128	5	2	0	0	947.37	0	1
1	26	2	1	50	173	255	47	2	1	0	0	770.88	1	0
1	27	2	2	50	0	0	128	5	2	0	0	497.62	1	1
1	28	2	6	80	255	0	0	1	1	0	0	402.59	0	1
1	29	2	4	80	255	165	0	6	1	0	0	789.02	0	0
1	30	2	2	50	0	0	128	5	2	0	0	639.66	1	1
1	31	2	3	50	255	255	255	3	2	0	0	502.58	1	0
1	32	2	4	80	255	165	0	6	2	0	0	1919.7	1	1
1	33	2	4	80	255	165	0	6	2	0	0	1503.2	1	1
1	34	2	4	80	255	165	0	6	2	0	0	1544.3	1	1
1	35	2	6	80	255	0	0	1	1	0	0	1476.2	1	1
1	36	2	6	80	255	0	0	1	1	0	0	1363.3	1	1
1	37	2	2	50	0	0	128	5	2	0	0	1739.7	0	1
1	38	2	1	50	173	255	47	2	1	0	0	0.53513	0	0
1	39	2	5	80	0	128	0	4	1	0	0	1380.5	0	1
1	40	2	5	80	0	128	0	4	2	0	0	1359.1	0	0
1	41	2	4	80	255	165	0	6	2	0	0	737.12	1	1
1	42	2	5	80	0	128	0	4	2	0	0	1769.3	0	0
1	43	2	5	80	0	128	0	4	1	0	0	1499	1	1
1	44	2	2	50	0	0	128	5	1	0	0	411.9	0	0
1	45	2	3	50	255	255	255	3	1	0	0	181.12	1	1
1	46	2	6	80	255	0	0	1	1	0	0	643.6	1	1
1	47	2	6	80	255	0	0	1	1	0	0	1075.2	0	1
1	48	2	5	80	0	128	0	4	1	0	0	1004.5	1	1
1	49	2	1	50	173	255	47	2	0	1	1	0	-1	-1
1	50	2	3	50	255	255	255	3	1	0	0	582.16	0	1
1	51	2	3	50	255	255	255	3	1	0	0	1189.1	1	1
1	52	2	6	80	255	0	0	1	1	0	0	492.51	0	1
1	53	2	1	50	173	255	47	2	0	0	1	0	-1	-1
1	54	2	5	80	0	128	0	4	2	0	0	1601.1	0	0
1	55	2	4	80	255	165	0	6	2	0	0	1421.1	1	1
1	56	2	1	50	173	255	47	2	2	0	0	1174.2	1	1
1	57	2	2	50	0	0	128	5	0	0	1	0	-1	-1
1	58	2	5	80	0	128	0	4	2	0	0	1410.9	0	0
1	59	2	4	80	255	165	0	6	2	0	0	883.47	0	1
1	60	2	5	80	0	128	0	4	1	0	0	824.8200000000001	1	1
1	61	2	3	50	255	255	255	3	1	0	0	1034.1	1	1
1	62	2	4	80	255	165	0	6	1	0	0	836.36	0	0
1	63	2	6	80	255	0	0	1	2	0	0	436.17	0	0
1	64	2	3	50	255	255	255	3	1	0	0	476.54	0	1
1	65	2	2	50	0	0	128	5	1	0	0	1181	0	0
1	66	2	3	50	255	255	255	3	2	0	0	600.95	1	0
1	67	2	6	80	255	0	0	1	1	0	0	378.51	0	1
1	68	2	2	50	0	0	128	5	2	0	0	1734.6	1	1
1	69	2	6	80	255	0	0	1	2	0	0	229.94	0	0
1	70	2	4	80	255	165	0	6	1	0	0	921.16	0	0
1	71	2	3	50	255	255	255	3	2	0	0	646.15	0	0
1	72	2	3	50	255	255	255	3	1	0	0	1089.7	1	1
1	73	2	5	80	0	128	0	4	1	0	0	1750.5	1	1
1	74	2	4	80	255	165	0	6	1	0	0	412.34	0	0
1	75	2	6	80	255	0	0	1	2	0	0	419.13	1	0
1	76	2	4	80	255	165	0	6	1	0	0	900.4400000000001	0	0
1	77	2	3	50	255	255	255	3	2	0	0	614.21	1	0
1	78	2	2	50	0	0	128	5	1	0	0	644.03	1	0
1	79	2	6	80	255	0	0	1	1	0	0	793.45	1	1
1	80	2	4	80	255	165	0	6	1	0	0	451.9	0	0
1	81	2	2	50	0	0	128	5	1	0	0	295.8	1	0
1	82	2	6	80	255	0	0	1	1	0	0	1412.5	1	1
1	83	2	1	50	173	255	47	2	2	0	0	1389.3	0	1
1	84	2	4	80	255	165	0	6	1	0	0	1033.4	0	0
1	85	2	2	50	0	0	128	5	1	0	0	955.46	0	0
1	86	2	6	80	255	0	0	1	1	0	0	1970.4	1	1
1	87	2	5	80	0	128	0	4	1	0	0	849.52	1	1
1	88	2	3	50	255	255	255	3	0	1	1	0	-1	-1
1	89	2	4	80	255	165	0	6	0	0	1	0	-1	-1
1	90	2	5	80	0	128	0	4	1	0	0	1035.2	1	1
1	91	2	1	50	173	255	47	2	1	0	0	578.35	0	0
1	92	2	6	80	255	0	0	1	1	0	0	656.8099999999999	1	1
