block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	2	6	80	0	255	0	2	2	0	0	522.17	0	0
1	2	2	6	80	0	255	0	2	1	0	0	337.13	1	1
1	3	2	4	80	255	192	203	4	2	0	0	811.86	1	1
1	4	2	5	80	128	0	0	6	2	0	0	1466.6	1	0
1	5	2	3	50	255	0	0	5	1	0	0	1223.3	1	1
1	6	2	2	50	255	0	255	1	2	0	0	995.98	1	1
1	7	2	4	80	255	192	203	4	2	0	0	914.75	1	1
1	8	2	3	50	255	0	0	5	2	0	0	508.88	1	0
1	9	2	4	80	255	192	203	4	2	0	0	829.66	0	1
1	10	2	5	80	128	0	0	6	1	0	0	903.26	1	1
1	11	2	3	50	255	0	0	5	2	0	0	892.17	1	0
1	12	2	4	80	255	192	203	4	2	0	0	1099.6	1	1
1	13	2	5	80	128	0	0	6	1	0	0	1001	1	1
1	14	2	4	80	255	192	203	4	2	0	0	647.55	1	1
1	15	2	5	80	128	0	0	6	1	0	0	560.62	1	1
1	16	2	1	50	0	0	0	3	2	0	0	1433.9	1	1
1	17	2	6	80	0	255	0	2	1	0	0	588.38	1	1
1	18	2	5	80	128	0	0	6	1	0	0	1007	1	1
1	19	2	5	80	128	0	0	6	2	0	0	471.57	0	0
1	20	2	6	80	0	255	0	2	2	0	0	1499	0	0
1	21	2	1	50	0	0	0	3	1	0	0	1060.6	0	0
1	22	2	5	80	128	0	0	6	1	0	0	531.92	1	1
1	23	2	5	80	128	0	0	6	1	0	0	1089.5	0	1
1	24	2	6	80	0	255	0	2	2	0	0	636.04	0	0
1	25	2	5	80	128	0	0	6	1	0	0	1290	1	1
1	26	2	2	50	255	0	255	1	1	0	0	1563.2	0	0
1	27	2	4	80	255	192	203	4	2	0	0	325.07	1	1
1	28	2	3	50	255	0	0	5	2	0	0	859.85	0	0
1	29	2	1	50	0	0	0	3	2	0	0	1088.1	0	1
1	30	2	4	80	255	192	203	4	2	0	0	567.45	1	1
1	31	2	1	50	0	0	0	3	1	0	0	424.76	0	0
1	32	2	6	80	0	255	0	2	1	0	0	1412.4	1	1
1	33	2	2	50	255	0	255	1	1	0	0	1626.2	1	0
1	34	2	6	80	0	255	0	2	1	0	0	1334.7	1	1
1	35	2	5	80	128	0	0	6	1	0	0	1172.8	1	1
1	36	2	2	50	255	0	255	1	1	0	0	990.37	1	0
1	37	2	2	50	255	0	255	1	1	0	0	1285.1	1	0
1	38	2	4	80	255	192	203	4	2	0	0	662.35	1	1
1	39	2	4	80	255	192	203	4	2	0	0	517.36	1	1
1	40	2	1	50	0	0	0	3	1	0	0	774.85	0	0
1	41	2	2	50	255	0	255	1	1	0	0	360.36	0	0
1	42	2	5	80	128	0	0	6	1	0	0	683.24	1	1
1	43	2	4	80	255	192	203	4	2	0	0	531.6	1	1
1	44	2	3	50	255	0	0	5	0	0	1	0	-1	-1
1	45	2	3	50	255	0	0	5	2	0	0	254.92	0	0
1	46	2	2	50	255	0	255	1	1	0	0	233.35	0	0
1	47	2	2	50	255	0	255	1	1	0	0	826.13	1	0
1	48	2	6	80	0	255	0	2	1	0	0	610.8	0	1
1	49	2	6	80	0	255	0	2	2	0	0	417.1	0	0
1	50	2	5	80	128	0	0	6	2	0	0	1286.7	0	0
1	51	2	4	80	255	192	203	4	2	0	0	331	1	1
1	52	2	1	50	0	0	0	3	1	0	0	884.25	0	0
1	53	2	6	80	0	255	0	2	1	0	0	362.86	0	1
1	54	2	4	80	255	192	203	4	2	0	0	1034	0	1
1	55	2	6	80	0	255	0	2	1	0	0	1350.9	1	1
1	56	2	3	50	255	0	0	5	1	0	0	1621.8	0	1
1	57	2	3	50	255	0	0	5	1	0	0	710.62	1	1
1	58	2	3	50	255	0	0	5	1	0	0	786.28	0	1
1	59	2	5	80	128	0	0	6	1	0	0	581.71	1	1
1	60	2	2	50	255	0	255	1	1	0	0	502.85	0	0
1	61	2	3	50	255	0	0	5	1	0	0	377.29	0	1
1	62	2	1	50	0	0	0	3	1	0	0	741.21	0	0
1	63	2	1	50	0	0	0	3	2	0	0	343.13	1	1
1	64	2	3	50	255	0	0	5	2	0	0	1299	1	0
1	65	2	1	50	0	0	0	3	2	0	0	1041.9	1	1
1	66	2	6	80	0	255	0	2	2	0	0	495.12	0	0
1	67	2	4	80	255	192	203	4	0	0	1	0	-1	-1
1	68	2	4	80	255	192	203	4	2	0	0	269.59	1	1
1	69	2	3	50	255	0	0	5	1	0	0	488.02	1	1
1	70	2	6	80	0	255	0	2	2	0	0	676.72	0	0
1	71	2	6	80	0	255	0	2	1	0	0	681.86	1	1
1	72	2	3	50	255	0	0	5	2	0	0	1386.5	0	0
1	73	2	6	80	0	255	0	2	1	0	0	1075.3	1	1
1	74	2	3	50	255	0	0	5	1	0	0	1255.2	0	1
1	75	2	6	80	0	255	0	2	1	0	0	1163.9	1	1
1	76	2	3	50	255	0	0	5	2	0	0	795.58	1	0
1	77	2	5	80	128	0	0	6	1	0	0	546.6900000000001	0	1
1	78	2	6	80	0	255	0	2	1	0	0	832.62	1	1
1	79	2	3	50	255	0	0	5	1	0	0	1047.4	1	1
1	80	2	6	80	0	255	0	2	2	0	0	810.99	0	0
1	81	2	3	50	255	0	0	5	1	0	0	940.05	0	1
1	82	2	3	50	255	0	0	5	1	0	0	509.2	0	1
1	83	2	4	80	255	192	203	4	2	0	0	672.5	1	1
1	84	2	1	50	0	0	0	3	2	0	0	1116.6	0	1
1	85	2	2	50	255	0	255	1	1	0	0	703.41	1	0
1	86	2	4	80	255	192	203	4	2	0	0	522.37	0	1
1	87	2	4	80	255	192	203	4	2	0	0	770.84	1	1
1	88	2	6	80	0	255	0	2	1	0	0	467.57	1	1
1	89	2	1	50	0	0	0	3	1	0	0	1275.9	0	0
1	90	2	3	50	255	0	0	5	1	0	0	969.6	0	1
1	91	2	2	50	255	0	255	1	1	0	0	622.67	0	0
1	92	2	1	50	0	0	0	3	2	0	0	272	0	1
1	93	2	5	80	128	0	0	6	1	0	0	1215.7	1	1
1	94	2	1	50	0	0	0	3	2	0	0	768.13	0	1
1	95	2	5	80	128	0	0	6	1	0	0	310.61	1	1
1	96	2	5	80	128	0	0	6	1	0	0	258.98	1	1
1	97	2	4	80	255	192	203	4	0	0	1	0.57133	-1	-1
1	98	2	6	80	0	255	0	2	1	0	0	791.98	1	1
1	99	2	1	50	0	0	0	3	2	0	0	832.99	0	1
1	100	2	1	50	0	0	0	3	0	1	1	0	-1	-1
1	101	2	3	50	255	0	0	5	1	0	0	666.0599999999999	0	1
1	102	2	4	80	255	192	203	4	2	0	0	431.26	0	1
1	103	2	1	50	0	0	0	3	2	0	0	1185.5	0	1
1	104	2	5	80	128	0	0	6	1	0	0	953.01	1	1
1	105	2	4	80	255	192	203	4	2	0	0	539.91	1	1
1	106	2	6	80	0	255	0	2	2	0	0	506.25	0	0
1	107	2	6	80	0	255	0	2	1	0	0	617.6900000000001	1	1
1	108	2	6	80	0	255	0	2	1	0	0	596.21	1	1
1	109	2	5	80	128	0	0	6	1	0	0	721.13	1	1
1	110	2	2	50	255	0	255	1	1	0	0	309.54	0	0
1	111	2	4	80	255	192	203	4	2	0	0	333.11	1	1
1	112	2	1	50	0	0	0	3	2	0	0	539.5599999999999	0	1
1	113	2	3	50	255	0	0	5	1	0	0	759.1799999999999	1	1
1	114	2	3	50	255	0	0	5	1	0	0	648.23	1	1
1	115	2	6	80	0	255	0	2	1	0	0	931.98	1	1
1	116	2	2	50	255	0	255	1	1	0	0	334.07	1	0
1	117	2	1	50	0	0	0	3	1	0	0	238.72	1	0
1	118	2	5	80	128	0	0	6	1	0	0	581.29	1	1
1	119	2	5	80	128	0	0	6	1	0	0	566.12	1	1
1	120	2	2	50	255	0	255	1	1	0	0	417.56	1	0
1	121	2	2	50	255	0	255	1	1	0	0	316.77	1	0
1	122	2	2	50	255	0	255	1	1	0	0	584.77	0	0
1	123	2	2	50	255	0	255	1	1	0	0	527.86	1	0
1	124	2	1	50	0	0	0	3	1	0	0	647.7	1	0
1	125	2	5	80	128	0	0	6	1	0	0	640.36	1	1
1	126	2	4	80	255	192	203	4	2	0	0	514.0599999999999	1	1
1	127	2	4	80	255	192	203	4	2	0	0	467.74	0	1
1	128	2	1	50	0	0	0	3	1	0	0	196.89	1	0
1	129	2	4	80	255	192	203	4	2	0	0	236.53	1	1
1	130	2	5	80	128	0	0	6	1	0	0	347.66	1	1
1	131	2	1	50	0	0	0	3	1	0	0	1458.6	0	0
1	132	2	2	50	255	0	255	1	1	0	0	525.3200000000001	1	0
1	133	2	2	50	255	0	255	1	1	0	0	459.9	0	0
1	134	2	2	50	255	0	255	1	0	1	1	0	-1	-1
1	135	2	2	50	255	0	255	1	1	0	0	130.95	0	0
1	136	2	3	50	255	0	0	5	1	0	0	722.46	0	1
1	137	2	2	50	255	0	255	1	1	0	0	627.02	0	0
1	138	2	2	50	255	0	255	1	1	0	0	697.6799999999999	0	0
1	139	2	1	50	0	0	0	3	1	0	0	1221.6	0	0
1	140	2	3	50	255	0	0	5	1	0	0	1038.1	0	1
1	141	2	2	50	255	0	255	1	1	0	0	269.18	0	0
1	142	2	1	50	0	0	0	3	1	0	0	504.89	0	0
1	143	2	5	80	128	0	0	6	1	0	0	1693	1	1
1	144	2	1	50	0	0	0	3	1	0	0	533.95	1	0
2	1	3	6	80	0	128	0	2	2	0	0	971.8	0	0
2	2	3	6	80	0	128	0	2	0	0	1	0	-1	-1
2	3	3	4	80	255	165	0	4	2	0	0	1617.1	0	0
2	4	3	1	80	173	255	47	3	1	0	0	1062.5	1	1
2	5	3	5	80	0	255	255	6	1	0	0	1247.1	0	0
2	6	3	3	80	255	69	0	5	2	0	0	1018.8	1	1
2	7	3	3	80	255	69	0	5	2	0	0	919.8099999999999	1	1
2	8	3	2	80	0	0	128	1	2	0	0	617.5700000000001	1	1
2	9	3	2	80	0	0	128	1	2	0	0	460.54	1	1
2	10	3	2	80	0	0	128	1	2	0	0	397.01	1	1
2	11	3	1	80	173	255	47	3	2	0	0	655.83	1	0
2	12	3	2	80	0	0	128	1	2	0	0	673.24	1	1
2	13	3	5	80	0	255	255	6	1	0	0	353.94	0	0
2	14	3	3	80	255	69	0	5	1	0	0	889.85	0	0
2	15	3	5	80	0	255	255	6	2	0	0	269.11	1	1
2	16	3	1	80	173	255	47	3	1	0	0	767.5700000000001	1	1
2	17	3	2	80	0	0	128	1	2	0	0	213.48	0	1
2	18	3	6	80	0	128	0	2	1	0	0	810.73	0	1
2	19	3	3	80	255	69	0	5	2	0	0	1646.3	1	1
2	20	3	4	80	255	165	0	4	2	0	0	1331.8	1	0
2	21	3	4	80	255	165	0	4	2	0	0	532.51	1	0
2	22	3	2	80	0	0	128	1	2	0	0	301.89	1	1
2	23	3	5	80	0	255	255	6	2	0	0	564.02	1	1
2	24	3	5	80	0	255	255	6	2	0	0	424.72	1	1
2	25	3	3	80	255	69	0	5	2	0	0	1146.9	1	1
2	26	3	3	80	255	69	0	5	2	0	0	553.13	0	1
2	27	3	6	80	0	128	0	2	2	0	0	379.73	0	0
2	28	3	6	80	0	128	0	2	1	0	0	492.56	1	1
2	29	3	5	80	0	255	255	6	2	0	0	325.48	0	1
2	30	3	5	80	0	255	255	6	1	0	0	530.97	1	0
2	31	3	6	80	0	128	0	2	1	0	0	521.01	1	1
2	32	3	5	80	0	255	255	6	1	0	0	630.54	0	0
2	33	3	6	80	0	128	0	2	1	0	0	526.22	1	1
2	34	3	2	80	0	0	128	1	2	0	0	218.04	1	1
2	35	3	5	80	0	255	255	6	2	0	0	517.46	1	1
2	36	3	3	80	255	69	0	5	1	0	0	456.84	0	0
2	37	3	3	80	255	69	0	5	2	0	0	935.11	1	1
2	38	3	6	80	0	128	0	2	1	0	0	602.65	1	1
2	39	3	6	80	0	128	0	2	1	0	0	387.76	1	1
2	40	3	2	80	0	0	128	1	2	0	0	608.33	1	1
2	41	3	2	80	0	0	128	1	2	0	0	378.82	1	1
2	42	3	2	80	0	0	128	1	2	0	0	652.52	0	1
2	43	3	6	80	0	128	0	2	1	0	0	415.67	0	1
2	44	3	2	80	0	0	128	1	2	0	0	515.0599999999999	0	1
2	45	3	5	80	0	255	255	6	1	0	0	615.3200000000001	0	0
2	46	3	2	80	0	0	128	1	2	0	0	226.17	1	1
2	47	3	6	80	0	128	0	2	1	0	0	166	1	1
2	48	3	1	80	173	255	47	3	2	0	0	714.1799999999999	0	0
2	49	3	4	80	255	165	0	4	2	0	0	262.08	1	0
2	50	3	4	80	255	165	0	4	2	0	0	432.53	1	0
2	51	3	4	80	255	165	0	4	2	0	0	513.0599999999999	0	0
2	52	3	1	80	173	255	47	3	2	0	0	1629.6	1	0
2	53	3	3	80	255	69	0	5	2	0	0	458	1	1
2	54	3	2	80	0	0	128	1	2	0	0	563.42	1	1
2	55	3	1	80	173	255	47	3	2	0	0	1445.4	0	0
2	56	3	6	80	0	128	0	2	1	0	0	486.7	1	1
2	57	3	1	80	173	255	47	3	1	0	0	1180.2	1	1
2	58	3	2	80	0	0	128	1	2	0	0	622.6	1	1
2	59	3	3	80	255	69	0	5	2	0	0	1038.4	1	1
2	60	3	3	80	255	69	0	5	2	0	0	583.84	1	1
2	61	3	5	80	0	255	255	6	2	0	0	504.54	1	1
2	62	3	4	80	255	165	0	4	2	0	0	787.3200000000001	1	0
2	63	3	1	80	173	255	47	3	1	0	0	735.4	1	1
2	64	3	3	80	255	69	0	5	1	0	0	496.89	0	0
2	65	3	6	80	0	128	0	2	1	0	0	258.53	1	1
2	66	3	1	80	173	255	47	3	2	0	0	507.98	1	0
2	67	3	5	80	0	255	255	6	2	0	0	568.87	1	1
2	68	3	6	80	0	128	0	2	1	0	0	434.98	1	1
2	69	3	6	80	0	128	0	2	1	0	0	487.09	0	1
2	70	3	3	80	255	69	0	5	1	0	0	1500.4	0	0
2	71	3	4	80	255	165	0	4	2	0	0	313.05	1	0
2	72	3	3	80	255	69	0	5	2	0	0	648.22	0	1
2	73	3	5	80	0	255	255	6	2	0	0	281.6	0	1
2	74	3	2	80	0	0	128	1	2	0	0	479.85	0	1
2	75	3	5	80	0	255	255	6	2	0	0	360.45	0	1
2	76	3	4	80	255	165	0	4	2	0	0	381.37	0	0
2	77	3	1	80	173	255	47	3	2	0	0	809.5599999999999	0	0
2	78	3	5	80	0	255	255	6	2	0	0	300.43	0	1
2	79	3	5	80	0	255	255	6	2	0	0	309.14	0	1
2	80	3	4	80	255	165	0	4	2	0	0	533.66	1	0
2	81	3	5	80	0	255	255	6	2	0	0	179.08	1	1
2	82	3	1	80	173	255	47	3	2	0	0	1095.9	1	0
2	83	3	6	80	0	128	0	2	1	0	0	228.12	0	1
2	84	3	4	80	255	165	0	4	2	0	0	789.84	0	0
2	85	3	1	80	173	255	47	3	2	0	0	791.51	0	0
2	86	3	6	80	0	128	0	2	1	0	0	612.21	1	1
2	87	3	5	80	0	255	255	6	2	0	0	871.46	1	1
2	88	3	2	80	0	0	128	1	2	0	0	483.91	1	1
2	89	3	6	80	0	128	0	2	2	0	0	425.63	0	0
2	90	3	3	80	255	69	0	5	1	0	0	552.64	0	0
2	91	3	3	80	255	69	0	5	1	0	0	192.68	0	0
2	92	3	4	80	255	165	0	4	2	0	0	516.27	0	0
2	93	3	4	80	255	165	0	4	2	0	0	349.23	1	0
2	94	3	6	80	0	128	0	2	1	0	0	538.26	1	1
2	95	3	3	80	255	69	0	5	2	0	0	1016.1	0	1
2	96	3	1	80	173	255	47	3	2	0	0	1577.1	0	0
2	97	3	2	80	0	0	128	1	2	0	0	0.57675	0	1
2	98	3	2	80	0	0	128	1	2	0	0	636.61	1	1
2	99	3	6	80	0	128	0	2	1	0	0	375	1	1
2	100	3	1	80	173	255	47	3	2	0	0	340.82	1	0
2	101	3	1	80	173	255	47	3	2	0	0	489.26	0	0
2	102	3	1	80	173	255	47	3	2	0	0	323	0	0
2	103	3	2	80	0	0	128	1	2	0	0	461.02	1	1
2	104	3	2	80	0	0	128	1	2	0	0	381.77	1	1
2	105	3	3	80	255	69	0	5	2	0	0	922.72	1	1
2	106	3	5	80	0	255	255	6	2	0	0	1081.9	0	1
2	107	3	1	80	173	255	47	3	2	0	0	361.34	0	0
2	108	3	1	80	173	255	47	3	2	0	0	922.5700000000001	0	0
2	109	3	4	80	255	165	0	4	2	0	0	283.89	0	0
2	110	3	6	80	0	128	0	2	1	0	0	465.6	1	1
2	111	3	5	80	0	255	255	6	2	0	0	646.59	1	1
2	112	3	1	80	173	255	47	3	1	0	0	506.06	1	1
2	113	3	2	80	0	0	128	1	2	0	0	268.84	1	1
2	114	3	1	80	173	255	47	3	1	0	0	369.75	1	1
2	115	3	5	80	0	255	255	6	2	0	0	330.3	1	1
2	116	3	6	80	0	128	0	2	1	0	0	328.62	1	1
2	117	3	3	80	255	69	0	5	1	0	0	663.5599999999999	1	0
2	118	3	1	80	173	255	47	3	1	0	0	716.42	1	1
2	119	3	4	80	255	165	0	4	2	0	0	287.43	0	0
2	120	3	4	80	255	165	0	4	1	0	0	380.6	0	1
2	121	3	3	80	255	69	0	5	2	0	0	1249.1	0	1
