block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	1	4	50	0	0	255	6	0	0	1	0	-1	-1
1	2	1	6	50	0	128	0	5	0	0	1	479.24	-1	-1
1	3	1	4	50	0	0	255	6	0	0	1	1612.9	-1	-1
1	4	1	2	50	255	69	0	1	1	0	0	1871.1	0	0
1	5	1	4	50	0	0	255	6	1	0	0	498.11	0	1
1	6	1	2	50	255	69	0	1	0	0	1	1143.5	-1	-1
1	7	1	5	50	255	255	0	2	0	0	1	886.85	-1	-1
1	8	1	6	50	0	128	0	5	1	0	0	410.66	1	0
1	9	1	3	50	0	128	128	4	1	0	0	393.06	1	1
1	10	1	3	50	0	128	128	4	1	0	0	1578	1	1
1	11	1	4	50	0	0	255	6	1	0	0	795.24	0	1
1	12	1	3	50	0	128	128	4	1	0	0	1457.7	1	1
1	13	1	2	50	255	69	0	1	2	0	0	1201.4	1	1
1	14	1	2	50	255	69	0	1	2	0	0	1600	0	1
1	15	1	6	50	0	128	0	5	1	0	0	630.39	0	0
1	16	1	1	50	255	165	0	3	2	0	0	1049.4	0	0
1	17	1	4	50	0	0	255	6	1	0	0	145.11	1	1
1	18	1	5	50	255	255	0	2	2	0	0	481.55	1	1
1	19	1	1	50	255	165	0	3	2	0	0	137.4	1	0
1	20	1	2	50	255	69	0	1	1	0	0	732.54	1	0
1	21	1	6	50	0	128	0	5	2	0	0	653.83	0	1
1	22	1	5	50	255	255	0	2	2	0	0	83.869	0	1
1	23	1	3	50	0	128	128	4	2	0	0	1412.3	0	0
1	24	1	6	50	0	128	0	5	1	0	0	480.4	1	0
1	25	1	5	50	255	255	0	2	1	0	0	490.93	0	0
1	26	1	5	50	255	255	0	2	1	0	0	289.34	0	0
1	27	1	5	50	255	255	0	2	2	0	0	29.474	0	1
1	28	1	5	50	255	255	0	2	2	0	0	716.88	0	1
1	29	1	6	50	0	128	0	5	1	0	0	1354.3	1	0
1	30	1	4	50	0	0	255	6	1	0	0	770.26	1	1
1	31	1	3	50	0	128	128	4	2	0	0	1208.8	0	0
1	32	1	5	50	255	255	0	2	1	0	0	897.9400000000001	0	0
1	33	1	2	50	255	69	0	1	1	0	0	127.41	0	0
1	34	1	4	50	0	0	255	6	1	0	0	742.05	1	1
1	35	1	2	50	255	69	0	1	1	0	0	482.19	1	0
1	36	1	3	50	0	128	128	4	2	0	0	634.17	1	0
1	37	1	1	50	255	165	0	3	2	0	0	95.637	0	0
1	38	1	5	50	255	255	0	2	2	0	0	990.98	0	1
1	39	1	3	50	0	128	128	4	2	0	0	372.6	1	0
1	40	1	6	50	0	128	0	5	1	0	0	1024.5	0	0
1	41	1	1	50	255	165	0	3	1	0	0	973.65	1	1
1	42	1	6	50	0	128	0	5	1	0	0	1399	0	0
1	43	1	4	50	0	0	255	6	1	0	0	1422.1	0	1
1	44	1	4	50	0	0	255	6	1	0	0	1681.6	1	1
1	45	1	4	50	0	0	255	6	1	0	0	345.46	1	1
1	46	1	2	50	255	69	0	1	1	0	0	162.73	1	0
1	47	1	2	50	255	69	0	1	1	0	0	942.01	0	0
1	48	1	4	50	0	0	255	6	1	0	0	120.48	1	1
1	49	1	4	50	0	0	255	6	1	0	0	677.54	0	1
1	50	1	3	50	0	128	128	4	1	0	0	518.8	0	1
1	51	1	3	50	0	128	128	4	2	0	0	141.33	1	0
1	52	1	4	50	0	0	255	6	2	0	0	982.26	0	0
1	53	1	3	50	0	128	128	4	0	0	1	0	-1	-1
1	54	1	4	50	0	0	255	6	2	0	0	375.25	1	0
1	55	1	2	50	255	69	0	1	1	0	0	627.29	1	0
1	56	1	5	50	255	255	0	2	2	0	0	474.18	1	1
1	57	1	1	50	255	165	0	3	1	0	0	242.76	1	1
1	58	1	2	50	255	69	0	1	1	0	0	632.04	1	0
1	59	1	6	50	0	128	0	5	2	0	0	830.8	0	1
1	60	1	5	50	255	255	0	2	2	0	0	226.52	1	1
1	61	1	2	50	255	69	0	1	1	0	0	920.75	0	0
1	62	1	1	50	255	165	0	3	1	0	0	140.72	0	1
1	63	1	2	50	255	69	0	1	2	0	0	140.33	1	1
1	64	1	4	50	0	0	255	6	1	0	0	267.38	1	1
1	65	1	3	50	0	128	128	4	2	0	0	122.82	0	0
1	66	1	2	50	255	69	0	1	2	0	0	391.99	1	1
1	67	1	6	50	0	128	0	5	1	0	0	281.7	0	0
1	68	1	1	50	255	165	0	3	2	0	0	266.5	0	0
1	69	1	1	50	255	165	0	3	1	0	0	179.46	0	1
1	70	1	3	50	0	128	128	4	2	0	0	248.48	0	0
1	71	1	3	50	0	128	128	4	1	0	0	774.7	0	1
1	72	1	5	50	255	255	0	2	2	0	0	4.5368	0	1
1	73	1	6	50	0	128	0	5	1	0	0	1665.3	0	0
1	74	1	1	50	255	165	0	3	1	0	0	222.28	0	1
1	75	1	4	50	0	0	255	6	2	0	0	550.0599999999999	1	0
1	76	1	6	50	0	128	0	5	2	0	0	1177.4	0	1
1	77	1	6	50	0	128	0	5	1	0	0	241.21	0	0
1	78	1	2	50	255	69	0	1	2	0	0	1549.1	1	1
1	79	1	5	50	255	255	0	2	2	0	0	335.62	1	1
1	80	1	6	50	0	128	0	5	1	0	0	1544.5	1	0
1	81	1	5	50	255	255	0	2	2	0	0	70.33499999999999	0	1
1	82	1	5	50	255	255	0	2	2	0	0	293.65	0	1
1	83	1	3	50	0	128	128	4	2	0	0	118.17	0	0
1	84	1	1	50	255	165	0	3	2	0	0	224.63	1	0
1	85	1	3	50	0	128	128	4	2	0	0	1179.1	1	0
1	86	1	4	50	0	0	255	6	1	0	0	941.3	1	1
1	87	1	1	50	255	165	0	3	1	0	0	105.6	1	1
1	88	1	1	50	255	165	0	3	1	0	0	1268	1	1
1	89	1	5	50	255	255	0	2	2	0	0	735.63	1	1
1	90	1	6	50	0	128	0	5	2	0	0	1399.8	0	1
1	91	1	5	50	255	255	0	2	2	0	0	120.46	0	1
1	92	1	2	50	255	69	0	1	1	0	0	458.05	1	0
1	93	1	6	50	0	128	0	5	1	0	0	511.07	1	0
1	94	1	6	50	0	128	0	5	1	0	0	3.0982	1	0
1	95	1	6	50	0	128	0	5	1	0	0	705.63	1	0
1	96	1	3	50	0	128	128	4	2	0	0	262.13	0	0
1	97	1	1	50	255	165	0	3	0	0	1	143.53	-1	-1
1	98	1	6	50	0	128	0	5	0	1	1	0	-1	-1
1	99	1	4	50	0	0	255	6	2	0	0	246.22	0	0
1	100	1	5	50	255	255	0	2	2	0	0	221.65	1	1
1	101	1	1	50	255	165	0	3	2	0	0	453.5	0	0
1	102	1	3	50	0	128	128	4	2	0	0	596.29	0	0
1	103	1	5	50	255	255	0	2	2	0	0	597.72	1	1
1	104	1	1	50	255	165	0	3	0	0	1	329.13	-1	-1
1	105	1	2	50	255	69	0	1	1	0	0	156.03	1	0
1	106	1	4	50	0	0	255	6	1	0	0	913.05	0	1
1	107	1	3	50	0	128	128	4	1	0	0	282.95	0	1
1	108	1	3	50	0	128	128	4	1	0	0	1195.3	0	1
1	109	1	5	50	255	255	0	2	2	0	0	42.571	0	1
1	110	1	4	50	0	0	255	6	2	0	0	246.94	0	0
1	111	1	5	50	255	255	0	2	2	0	0	358.71	1	1
1	112	1	6	50	0	128	0	5	2	0	0	355.74	1	1
1	113	1	2	50	255	69	0	1	2	0	0	174.34	0	1
1	114	1	6	50	0	128	0	5	2	0	0	74.06999999999999	1	1
1	115	1	2	50	255	69	0	1	1	0	0	266.65	0	0
1	116	1	3	50	0	128	128	4	1	0	0	610.63	1	1
1	117	1	1	50	255	165	0	3	1	0	0	448.62	1	1
1	118	1	3	50	0	128	128	4	1	0	0	56.363	1	1
1	119	1	1	50	255	165	0	3	1	0	0	152.33	0	1
1	120	1	2	50	255	69	0	1	1	0	0	1759	1	0
1	121	1	2	50	255	69	0	1	1	0	0	714.8200000000001	1	0
1	122	1	6	50	0	128	0	5	2	0	0	1570.2	1	1
1	123	1	1	50	255	165	0	3	1	0	0	168.07	0	1
1	124	1	1	50	255	165	0	3	1	0	0	311.5	0	1
1	125	1	2	50	255	69	0	1	1	0	0	1446.7	1	0
1	126	1	3	50	0	128	128	4	1	0	0	70.045	0	1
1	127	1	6	50	0	128	0	5	2	0	0	1952.2	1	1
1	128	1	5	50	255	255	0	2	2	0	0	0.54711	0	1
1	129	1	3	50	0	128	128	4	1	0	0	622.02	1	1
1	130	1	3	50	0	128	128	4	1	0	0	139.28	1	1
1	131	1	4	50	0	0	255	6	0	0	1	0	-1	-1
1	132	1	5	50	255	255	0	2	2	0	0	0.56108	0	1
1	133	1	1	50	255	165	0	3	1	0	0	1698.1	1	1
1	134	1	4	50	0	0	255	6	2	0	0	866.89	0	0
1	135	1	1	50	255	165	0	3	1	0	0	776.21	0	1
1	136	1	2	50	255	69	0	1	2	0	0	476.93	0	1
1	137	1	4	50	0	0	255	6	2	0	0	894.99	1	0
1	138	1	1	50	255	165	0	3	2	0	0	575.74	1	0
1	139	1	4	50	0	0	255	6	2	0	0	1314.8	0	0
1	140	1	1	50	255	165	0	3	2	0	0	39.137	1	0
1	141	1	6	50	0	128	0	5	2	0	0	26.409	0	1
1	142	1	2	50	255	69	0	1	2	0	0	72.43600000000001	1	1
1	143	1	5	50	255	255	0	2	2	0	0	469.77	0	1
1	144	1	1	50	255	165	0	3	2	0	0	1755.9	1	0
2	1	3	3	80	255	255	255	4	2	0	0	990.29	0	0
2	2	3	1	80	128	0	0	3	2	0	0	483.95	1	0
2	3	3	5	80	128	0	128	2	2	0	0	286.27	0	0
2	4	3	6	80	0	0	128	5	2	0	0	461.14	1	1
2	5	3	5	80	128	0	128	2	1	0	0	465.75	1	1
2	6	3	2	80	0	255	255	1	2	0	0	535.7	1	1
2	7	3	4	80	255	192	203	6	2	0	0	128.52	1	1
2	8	3	6	80	0	0	128	5	2	0	0	1179	1	1
2	9	3	4	80	255	192	203	6	2	0	0	601.58	1	1
2	10	3	4	80	255	192	203	6	2	0	0	0.54169	1	1
2	11	3	4	80	255	192	203	6	2	0	0	464.79	1	1
2	12	3	3	80	255	255	255	4	2	0	0	618.24	0	0
2	13	3	6	80	0	0	128	5	2	0	0	844.5700000000001	1	1
2	14	3	6	80	0	0	128	5	0	0	1	0	-1	-1
2	15	3	5	80	128	0	128	2	2	0	0	412.81	1	0
2	16	3	2	80	0	255	255	1	1	0	0	292.39	0	0
2	17	3	1	80	128	0	0	3	1	0	0	549.66	1	1
2	18	3	3	80	255	255	255	4	1	0	0	1227.2	1	1
2	19	3	3	80	255	255	255	4	1	0	0	513.55	1	1
2	20	3	6	80	0	0	128	5	2	0	0	442.78	1	1
2	21	3	6	80	0	0	128	5	2	0	0	367.56	0	1
2	22	3	4	80	255	192	203	6	2	0	0	290.03	1	1
2	23	3	3	80	255	255	255	4	1	0	0	690.87	1	1
2	24	3	3	80	255	255	255	4	1	0	0	518.21	0	1
2	25	3	2	80	0	255	255	1	1	0	0	295.14	0	0
2	26	3	4	80	255	192	203	6	2	0	0	286.35	1	1
2	27	3	2	80	0	255	255	1	2	0	0	783.53	0	1
2	28	3	5	80	128	0	128	2	1	0	0	1000.3	1	1
2	29	3	4	80	255	192	203	6	2	0	0	44.714	1	1
2	30	3	5	80	128	0	128	2	1	0	0	85.822	1	1
2	31	3	5	80	128	0	128	2	1	0	0	155.43	0	1
2	32	3	3	80	255	255	255	4	1	0	0	309.08	1	1
2	33	3	1	80	128	0	0	3	1	0	0	1415.2	1	1
2	34	3	6	80	0	0	128	5	2	0	0	1394.1	0	1
2	35	3	5	80	128	0	128	2	1	0	0	1210.7	1	1
2	36	3	3	80	255	255	255	4	2	0	0	1141.2	0	0
2	37	3	1	80	128	0	0	3	2	0	0	928.83	1	0
2	38	3	4	80	255	192	203	6	1	0	0	700.6799999999999	0	0
2	39	3	2	80	0	255	255	1	1	0	0	854.71	0	0
2	40	3	1	80	128	0	0	3	1	0	0	74.666	1	1
2	41	3	6	80	0	0	128	5	2	0	0	913.4400000000001	1	1
2	42	3	2	80	0	255	255	1	2	0	0	1004.1	0	1
2	43	3	3	80	255	255	255	4	1	0	0	506.23	1	1
2	44	3	4	80	255	192	203	6	2	0	0	71.858	1	1
2	45	3	1	80	128	0	0	3	1	0	0	64.565	1	1
2	46	3	2	80	0	255	255	1	1	0	0	878.39	0	0
2	47	3	2	80	0	255	255	1	1	0	0	738.6	1	0
2	48	3	4	80	255	192	203	6	2	0	0	268.76	1	1
2	49	3	1	80	128	0	0	3	2	0	0	752.9	0	0
2	50	3	3	80	255	255	255	4	0	0	1	0	-1	-1
2	51	3	2	80	0	255	255	1	2	0	0	636.38	0	1
2	52	3	4	80	255	192	203	6	2	0	0	199.32	1	1
2	53	3	1	80	128	0	0	3	1	0	0	4.2705	1	1
2	54	3	6	80	0	0	128	5	2	0	0	138.92	1	1
2	55	3	6	80	0	0	128	5	2	0	0	156.78	0	1
2	56	3	6	80	0	0	128	5	2	0	0	5.1483	1	1
2	57	3	5	80	128	0	128	2	2	0	0	297.86	1	0
2	58	3	3	80	255	255	255	4	2	0	0	993.38	0	0
2	59	3	1	80	128	0	0	3	1	0	0	535.26	1	1
2	60	3	1	80	128	0	0	3	1	0	0	532.41	1	1
2	61	3	1	80	128	0	0	3	1	0	0	188.55	1	1
2	62	3	6	80	0	0	128	5	2	0	0	958.05	1	1
2	63	3	4	80	255	192	203	6	2	0	0	223.37	1	1
2	64	3	6	80	0	0	128	5	2	0	0	133.99	1	1
2	65	3	1	80	128	0	0	3	1	0	0	161.19	1	1
2	66	3	3	80	255	255	255	4	2	0	0	257.47	0	0
2	67	3	6	80	0	0	128	5	2	0	0	0.53428	1	1
2	68	3	3	80	255	255	255	4	1	0	0	108.28	0	1
2	69	3	2	80	0	255	255	1	2	0	0	385.32	1	1
2	70	3	4	80	255	192	203	6	2	0	0	879.28	1	1
2	71	3	5	80	128	0	128	2	2	0	0	761.71	1	0
2	72	3	4	80	255	192	203	6	2	0	0	1280.2	1	1
2	73	3	4	80	255	192	203	6	2	0	0	269.74	0	1
2	74	3	2	80	0	255	255	1	1	0	0	738.9400000000001	0	0
2	75	3	3	80	255	255	255	4	1	0	0	601.88	1	1
2	76	3	6	80	0	0	128	5	2	0	0	1821.1	1	1
2	77	3	4	80	255	192	203	6	2	0	0	1237.4	1	1
2	78	3	4	80	255	192	203	6	2	0	0	234.3	0	1
2	79	3	1	80	128	0	0	3	1	0	0	229.94	1	1
2	80	3	5	80	128	0	128	2	2	0	0	114.22	0	0
2	81	3	5	80	128	0	128	2	1	0	0	0.5602200000000001	1	1
2	82	3	2	80	0	255	255	1	1	0	0	83.029	0	0
2	83	3	1	80	128	0	0	3	1	0	0	363.9	0	1
2	84	3	3	80	255	255	255	4	2	0	0	132.47	1	0
2	85	3	3	80	255	255	255	4	2	0	0	728.9	0	0
