block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	1	2	50	0	128	128	5	2	0	0	1919.3	0	0
1	2	1	1	50	255	0	255	6	2	0	0	0.75722	0	0
1	3	1	6	50	255	255	255	4	0	0	1	0	-1	-1
1	4	1	5	50	128	128	0	3	2	0	0	246.78	1	0
1	5	1	4	50	0	0	255	2	2	0	0	87.16	0	1
1	6	1	5	50	128	128	0	3	2	0	0	758.5599999999999	1	0
1	7	1	2	50	0	128	128	5	1	0	0	655.92	1	1
1	8	1	5	50	128	128	0	3	0	0	1	0	-1	-1
1	9	1	3	50	255	165	0	1	1	0	0	1442.5	0	0
1	10	1	6	50	255	255	255	4	1	0	0	1537.3	0	0
1	11	1	2	50	0	128	128	5	1	0	0	1905.6	0	1
1	12	1	1	50	255	0	255	6	0	0	1	0	-1	-1
1	13	1	5	50	128	128	0	3	2	0	0	529.3	0	0
1	14	1	1	50	255	0	255	6	0	0	1	0	-1	-1
1	15	1	5	50	128	128	0	3	2	0	0	256.99	1	0
1	16	1	1	50	255	0	255	6	1	0	0	359.33	1	1
1	17	1	2	50	0	128	128	5	2	0	0	792.27	1	0
1	18	1	4	50	0	0	255	2	2	0	0	625.67	1	1
1	19	1	3	50	255	165	0	1	1	0	0	1137	1	0
1	20	1	3	50	255	165	0	1	1	0	0	395.17	1	0
1	21	1	1	50	255	0	255	6	1	0	0	1010.3	0	1
1	22	1	2	50	0	128	128	5	2	0	0	1056.1	1	0
1	23	1	2	50	0	128	128	5	2	0	0	415.54	0	0
1	24	1	3	50	255	165	0	1	1	0	0	488.38	1	0
1	25	1	3	50	255	165	0	1	1	0	0	337.62	1	0
1	26	1	3	50	255	165	0	1	1	0	0	290.61	0	0
1	27	1	1	50	255	0	255	6	2	0	0	1236.5	1	0
1	28	1	3	50	255	165	0	1	1	0	0	374.74	1	0
1	29	1	4	50	0	0	255	2	2	0	0	484.83	0	1
1	30	1	4	50	0	0	255	2	1	0	0	0.57903	1	0
1	31	1	5	50	128	128	0	3	2	0	0	357.26	0	0
1	32	1	6	50	255	255	255	4	2	0	0	568.6799999999999	1	1
1	33	1	4	50	0	0	255	2	1	0	0	495.92	0	0
1	34	1	2	50	0	128	128	5	2	0	0	919.2	1	0
1	35	1	6	50	255	255	255	4	1	0	0	1044.8	0	0
1	36	1	2	50	0	128	128	5	2	0	0	684.45	0	0
1	37	1	6	50	255	255	255	4	2	0	0	652.11	1	1
1	38	1	4	50	0	0	255	2	1	0	0	411.3	0	0
1	39	1	2	50	0	128	128	5	2	0	0	594.61	1	0
1	40	1	2	50	0	128	128	5	2	0	0	305.47	1	0
1	41	1	6	50	255	255	255	4	1	0	0	689.47	0	0
1	42	1	2	50	0	128	128	5	2	0	0	364.15	0	0
1	43	1	5	50	128	128	0	3	2	0	0	464.21	1	0
1	44	1	2	50	0	128	128	5	2	0	0	700.58	0	0
1	45	1	6	50	255	255	255	4	2	0	0	865.51	1	1
1	46	1	4	50	0	0	255	2	1	0	0	393.12	0	0
1	47	1	6	50	255	255	255	4	2	0	0	301.54	1	1
1	48	1	5	50	128	128	0	3	2	0	0	508.32	1	0
1	49	1	3	50	255	165	0	1	0	0	1	0	-1	-1
1	50	1	2	50	0	128	128	5	2	0	0	176.69	1	0
1	51	1	5	50	128	128	0	3	2	0	0	272.82	0	0
1	52	1	2	50	0	128	128	5	0	1	1	0	-1	-1
1	53	1	5	50	128	128	0	3	2	0	0	0.5739	0	0
1	54	1	4	50	0	0	255	2	1	0	0	420.57	0	0
1	55	1	6	50	255	255	255	4	2	0	0	509.12	0	1
1	56	1	3	50	255	165	0	1	1	0	0	372.54	1	0
1	57	1	1	50	255	0	255	6	2	0	0	880.96	0	0
1	58	1	1	50	255	0	255	6	2	0	0	808.14	1	0
1	59	1	4	50	0	0	255	2	1	0	0	706.59	0	0
1	60	1	4	50	0	0	255	2	1	0	0	458.9	1	0
1	61	1	1	50	255	0	255	6	2	0	0	718.71	1	0
1	62	1	5	50	128	128	0	3	2	0	0	423.65	0	0
1	63	1	5	50	128	128	0	3	2	0	0	615.03	1	0
1	64	1	3	50	255	165	0	1	1	0	0	679.03	0	0
1	65	1	2	50	0	128	128	5	2	0	0	336.7	1	0
1	66	1	5	50	128	128	0	3	2	0	0	654.78	0	0
1	67	1	3	50	255	165	0	1	1	0	0	599.99	0	0
1	68	1	5	50	128	128	0	3	2	0	0	918.27	0	0
1	69	1	3	50	255	165	0	1	1	0	0	416.25	0	0
1	70	1	4	50	0	0	255	2	1	0	0	678.6	1	0
1	71	1	2	50	0	128	128	5	2	0	0	445	0	0
1	72	1	5	50	128	128	0	3	2	0	0	590.14	0	0
1	73	1	6	50	255	255	255	4	2	0	0	424.58	1	1
1	74	1	6	50	255	255	255	4	2	0	0	251.94	0	1
1	75	1	3	50	255	165	0	1	1	0	0	1096.6	0	0
1	76	1	3	50	255	165	0	1	1	0	0	305.86	1	0
1	77	1	4	50	0	0	255	2	1	0	0	476.72	0	0
1	78	1	3	50	255	165	0	1	1	0	0	378.08	1	0
1	79	1	1	50	255	0	255	6	2	0	0	832	0	0
1	80	1	5	50	128	128	0	3	2	0	0	459.6	0	0
1	81	1	4	50	0	0	255	2	1	0	0	283.35	1	0
1	82	1	4	50	0	0	255	2	1	0	0	420.57	0	0
1	83	1	5	50	128	128	0	3	2	0	0	338.3	1	0
1	84	1	6	50	255	255	255	4	2	0	0	317.4	0	1
1	85	1	6	50	255	255	255	4	2	0	0	206.02	0	1
1	86	1	3	50	255	165	0	1	1	0	0	991.6	0	0
1	87	1	6	50	255	255	255	4	2	0	0	449.72	0	1
1	88	1	1	50	255	0	255	6	2	0	0	345.23	1	0
1	89	1	4	50	0	0	255	2	1	0	0	463.87	1	0
1	90	1	6	50	255	255	255	4	2	0	0	369.86	0	1
1	91	1	6	50	255	255	255	4	2	0	0	313.99	0	1
1	92	1	2	50	0	128	128	5	2	0	0	427.55	0	0
1	93	1	2	50	0	128	128	5	2	0	0	168.76	1	0
1	94	1	4	50	0	0	255	2	1	0	0	291.82	0	0
1	95	1	2	50	0	128	128	5	2	0	0	206.09	1	0
1	96	1	3	50	255	165	0	1	1	0	0	401.11	1	0
1	97	1	1	50	255	0	255	6	0	0	1	0	-1	-1
1	98	1	1	50	255	0	255	6	0	1	1	0	-1	-1
1	99	1	4	50	0	0	255	2	0	1	1	0	-1	-1
1	100	1	6	50	255	255	255	4	1	0	0	718.5	1	0
1	101	1	4	50	0	0	255	2	1	0	0	775.66	0	0
1	102	1	2	50	0	128	128	5	2	0	0	335.08	0	0
1	103	1	1	50	255	0	255	6	2	0	0	217.15	1	0
1	104	1	5	50	128	128	0	3	2	0	0	300.34	0	0
1	105	1	3	50	255	165	0	1	1	0	0	513.04	1	0
1	106	1	4	50	0	0	255	2	1	0	0	349.5	1	0
1	107	1	5	50	128	128	0	3	2	0	0	290.94	1	0
1	108	1	1	50	255	0	255	6	2	0	0	363.59	1	0
1	109	1	3	50	255	165	0	1	1	0	0	595.28	0	0
1	110	1	4	50	0	0	255	2	1	0	0	853.83	1	0
1	111	1	1	50	255	0	255	6	2	0	0	373.53	0	0
1	112	1	5	50	128	128	0	3	2	0	0	245.76	1	0
1	113	1	4	50	0	0	255	2	1	0	0	436.82	1	0
1	114	1	2	50	0	128	128	5	2	0	0	255.81	1	0
1	115	1	4	50	0	0	255	2	1	0	0	211.77	0	0
1	116	1	4	50	0	0	255	2	1	0	0	280.07	0	0
1	117	1	6	50	255	255	255	4	1	0	0	704.42	1	0
1	118	1	2	50	0	128	128	5	2	0	0	371.1	1	0
1	119	1	1	50	255	0	255	6	2	0	0	746.67	1	0
1	120	1	6	50	255	255	255	4	1	0	0	632.61	0	0
1	121	1	5	50	128	128	0	3	2	0	0	307.99	0	0
1	122	1	3	50	255	165	0	1	1	0	0	330.74	0	0
1	123	1	3	50	255	165	0	1	1	0	0	278.56	1	0
1	124	1	6	50	255	255	255	4	1	0	0	998.75	1	0
1	125	1	3	50	255	165	0	1	1	0	0	399.72	0	0
1	126	1	1	50	255	0	255	6	2	0	0	466.38	0	0
1	127	1	6	50	255	255	255	4	1	0	0	272.37	0	0
1	128	1	5	50	128	128	0	3	0	0	1	0	-1	-1
1	129	1	6	50	255	255	255	4	1	0	0	493.79	0	0
1	130	1	3	50	255	165	0	1	1	0	0	342.65	0	0
1	131	1	1	50	255	0	255	6	2	0	0	353.42	0	0
1	132	1	2	50	0	128	128	5	2	0	0	163.14	0	0
1	133	1	1	50	255	0	255	6	2	0	0	271.02	0	0
