block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	1	3	50	255	192	203	4	1	0	0	678.1	1	1
1	2	1	3	50	255	192	203	4	2	0	0	105.25	1	0
1	3	1	3	50	255	192	203	4	2	0	0	559.86	0	0
1	4	1	4	50	0	0	255	1	2	0	0	1120.9	0	0
1	5	1	5	50	0	128	0	2	1	0	0	1381.1	0	0
1	6	1	1	50	173	255	47	5	2	0	0	919.96	1	1
1	7	1	2	50	255	165	0	6	2	0	0	794.12	1	0
1	8	1	5	50	0	128	0	2	2	0	0	779.15	1	1
1	9	1	4	50	0	0	255	1	2	0	0	602.45	1	0
1	10	1	3	50	255	192	203	4	2	0	0	368.18	0	0
1	11	1	2	50	255	165	0	6	1	0	0	1028.4	0	1
1	12	1	2	50	255	165	0	6	2	0	0	1320.7	0	0
1	13	1	2	50	255	165	0	6	2	0	0	964.6900000000001	0	0
1	14	1	1	50	173	255	47	5	2	0	0	536.51	0	1
1	15	1	6	50	255	69	0	3	2	0	0	1576.5	0	1
1	16	1	2	50	255	165	0	6	1	0	0	440.32	0	1
1	17	1	3	50	255	192	203	4	2	0	0	517.8	0	0
1	18	1	5	50	0	128	0	2	2	0	0	877.37	0	1
1	19	1	2	50	255	165	0	6	1	0	0	650.48	0	1
1	20	1	2	50	255	165	0	6	1	0	0	797.75	1	1
1	21	1	1	50	173	255	47	5	2	0	0	877.1900000000001	0	1
1	22	1	1	50	173	255	47	5	1	0	0	893.97	1	0
1	23	1	4	50	0	0	255	1	1	0	0	1117.7	1	1
1	24	1	4	50	0	0	255	1	1	0	0	940.63	1	1
1	25	1	6	50	255	69	0	3	1	0	0	497.49	1	0
1	26	1	6	50	255	69	0	3	1	0	0	746.0700000000001	0	0
1	27	1	4	50	0	0	255	1	1	0	0	642.73	0	1
1	28	1	2	50	255	165	0	6	1	0	0	1559	0	1
1	29	1	4	50	0	0	255	1	2	0	0	378.84	0	0
1	30	1	6	50	255	69	0	3	2	0	0	575.41	0	1
1	31	1	5	50	0	128	0	2	1	0	0	784.9	0	0
1	32	1	1	50	173	255	47	5	1	0	0	547.8099999999999	0	0
1	33	1	6	50	255	69	0	3	2	0	0	541.05	1	1
1	34	1	3	50	255	192	203	4	2	0	0	474.42	1	0
1	35	1	3	50	255	192	203	4	2	0	0	708.02	1	0
1	36	1	1	50	173	255	47	5	2	0	0	766.35	1	1
1	37	1	5	50	0	128	0	2	1	0	0	623.22	1	0
1	38	1	5	50	0	128	0	2	1	0	0	637.77	1	0
1	39	1	4	50	0	0	255	1	2	0	0	1200.3	1	0
1	40	1	3	50	255	192	203	4	2	0	0	764.86	0	0
1	41	1	2	50	255	165	0	6	2	0	0	869.3099999999999	0	0
1	42	1	6	50	255	69	0	3	1	0	0	867.03	1	0
1	43	1	6	50	255	69	0	3	1	0	0	652.48	0	0
1	44	1	1	50	173	255	47	5	2	0	0	564.96	0	1
1	45	1	6	50	255	69	0	3	2	0	0	470.1	0	1
1	46	1	1	50	173	255	47	5	2	0	0	818.04	1	1
1	47	1	6	50	255	69	0	3	1	0	0	630.98	1	0
1	48	1	5	50	0	128	0	2	1	0	0	833.78	1	0
1	49	1	3	50	255	192	203	4	2	0	0	1026.9	1	0
1	50	1	6	50	255	69	0	3	1	0	0	725.3	0	0
1	51	1	1	50	173	255	47	5	2	0	0	763.1900000000001	0	1
1	52	1	3	50	255	192	203	4	2	0	0	422	0	0
1	53	1	6	50	255	69	0	3	2	0	0	563.01	1	1
1	54	1	2	50	255	165	0	6	2	0	0	469.69	1	0
1	55	1	2	50	255	165	0	6	2	0	0	511.3	1	0
1	56	1	2	50	255	165	0	6	2	0	0	1876.8	0	0
1	57	1	4	50	0	0	255	1	1	0	0	615.26	1	1
1	58	1	1	50	173	255	47	5	2	0	0	620.1799999999999	1	1
1	59	1	6	50	255	69	0	3	2	0	0	532.83	0	1
1	60	1	6	50	255	69	0	3	1	0	0	850.4	0	0
1	61	1	1	50	173	255	47	5	2	0	0	682.45	1	1
1	62	1	5	50	0	128	0	2	1	0	0	660.76	0	0
1	63	1	5	50	0	128	0	2	2	0	0	586.87	0	1
1	64	1	6	50	255	69	0	3	1	0	0	1271.7	0	0
1	65	1	5	50	0	128	0	2	2	0	0	423.28	0	1
1	66	1	5	50	0	128	0	2	2	0	0	683.85	0	1
1	67	1	1	50	173	255	47	5	2	0	0	581.02	1	1
1	68	1	6	50	255	69	0	3	1	0	0	550.5599999999999	0	0
1	69	1	1	50	173	255	47	5	2	0	0	545.65	0	1
1	70	1	1	50	173	255	47	5	2	0	0	314.75	1	1
1	71	1	5	50	0	128	0	2	1	0	0	511.35	1	0
1	72	1	4	50	0	0	255	1	2	0	0	1097.2	1	0
1	73	1	1	50	173	255	47	5	2	0	0	482.19	1	1
1	74	1	2	50	255	165	0	6	2	0	0	593.73	0	0
1	75	1	5	50	0	128	0	2	2	0	0	695.08	1	1
1	76	1	5	50	0	128	0	2	2	0	0	761.23	1	1
1	77	1	6	50	255	69	0	3	1	0	0	653.09	1	0
1	78	1	3	50	255	192	203	4	2	0	0	510.74	1	0
