block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	3	4	80	0	255	0	4	1	0	0	717.45	0	0
1	2	3	5	80	0	0	128	3	1	0	0	253.23	1	1
1	3	3	2	80	255	255	255	2	1	0	0	180.67	0	1
1	4	3	1	80	128	0	0	6	1	0	0	383.94	0	0
1	5	3	6	80	255	165	0	5	1	0	0	288.85	1	0
1	6	3	1	80	128	0	0	6	2	0	0	198.03	1	1
1	7	3	4	80	0	255	0	4	1	0	0	523.5700000000001	0	0
1	8	3	2	80	255	255	255	2	2	0	0	622.29	0	0
1	9	3	3	80	255	192	203	1	1	0	0	478.98	1	1
1	10	3	3	80	255	192	203	1	1	0	0	255.03	0	1
1	11	3	3	80	255	192	203	1	1	0	0	551.99	0	1
1	12	3	1	80	128	0	0	6	2	0	0	601.6	0	1
1	13	3	4	80	0	255	0	4	2	0	0	347.92	1	1
1	14	3	3	80	255	192	203	1	2	0	0	445.72	0	0
1	15	3	2	80	255	255	255	2	2	0	0	233.23	0	0
1	16	3	2	80	255	255	255	2	2	0	0	158.02	0	0
1	17	3	3	80	255	192	203	1	2	0	0	311.41	0	0
1	18	3	3	80	255	192	203	1	1	0	0	540.15	0	1
1	19	3	2	80	255	255	255	2	2	0	0	396.7	1	0
1	20	3	6	80	255	165	0	5	1	0	0	460.21	0	0
1	21	3	4	80	0	255	0	4	2	0	0	383.67	1	1
1	22	3	3	80	255	192	203	1	1	0	0	571.98	1	1
1	23	3	1	80	128	0	0	6	2	0	0	376.98	0	1
1	24	3	1	80	128	0	0	6	1	0	0	188.95	0	0
1	25	3	2	80	255	255	255	2	2	0	0	474.47	0	0
1	26	3	2	80	255	255	255	2	1	0	0	200.98	1	1
1	27	3	3	80	255	192	203	1	2	0	0	375.69	1	0
1	28	3	6	80	255	165	0	5	1	0	0	471.85	0	0
1	29	3	4	80	0	255	0	4	2	0	0	232.18	1	1
1	30	3	2	80	255	255	255	2	2	0	0	243.12	0	0
1	31	3	1	80	128	0	0	6	1	0	0	491.35	0	0
1	32	3	2	80	255	255	255	2	2	0	0	25.973	0	0
1	33	3	6	80	255	165	0	5	2	0	0	490.79	1	1
1	34	3	6	80	255	165	0	5	2	0	0	562.73	1	1
1	35	3	2	80	255	255	255	2	2	0	0	743.6	0	0
1	36	3	4	80	0	255	0	4	2	0	0	183.58	0	1
1	37	3	6	80	255	165	0	5	2	0	0	492.33	1	1
1	38	3	4	80	0	255	0	4	2	0	0	553.16	1	1
1	39	3	1	80	128	0	0	6	2	0	0	951.8099999999999	1	1
1	40	3	1	80	128	0	0	6	2	0	0	500.01	1	1
1	41	3	2	80	255	255	255	2	2	0	0	326.17	1	0
1	42	3	6	80	255	165	0	5	2	0	0	336.01	1	1
1	43	3	2	80	255	255	255	2	2	0	0	143.77	1	0
1	44	3	5	80	0	0	128	3	1	0	0	249.92	0	1
1	45	3	2	80	255	255	255	2	2	0	0	10.254	1	0
1	46	3	6	80	255	165	0	5	2	0	0	59.78	0	1
1	47	3	5	80	0	0	128	3	1	0	0	113.08	0	1
1	48	3	5	80	0	0	128	3	2	0	0	101.9	0	0
1	49	3	2	80	255	255	255	2	2	0	0	82.66200000000001	0	0
1	50	3	1	80	128	0	0	6	1	0	0	481.99	0	0
1	51	3	4	80	0	255	0	4	1	0	0	184.93	0	0
1	52	3	3	80	255	192	203	1	1	0	0	117.36	1	1
1	53	3	5	80	0	0	128	3	1	0	0	211.74	1	1
1	54	3	4	80	0	255	0	4	1	0	0	243.84	0	0
1	55	3	4	80	0	255	0	4	2	0	0	14.037	1	1
1	56	3	3	80	255	192	203	1	1	0	0	171.78	1	1
1	57	3	1	80	128	0	0	6	1	0	0	166.02	0	0
1	58	3	3	80	255	192	203	1	1	0	0	66.873	1	1
1	59	3	3	80	255	192	203	1	1	0	0	114.31	1	1
1	60	3	4	80	0	255	0	4	2	0	0	136.07	1	1
1	61	3	5	80	0	0	128	3	1	0	0	188.43	1	1
1	62	3	3	80	255	192	203	1	1	0	0	21.35	1	1
1	63	3	1	80	128	0	0	6	2	0	0	336.67	1	1
1	64	3	2	80	255	255	255	2	1	0	0	372.89	1	1
1	65	3	6	80	255	165	0	5	1	0	0	81.114	0	0
1	66	3	5	80	0	0	128	3	2	0	0	478.9	0	0
1	67	3	2	80	255	255	255	2	1	0	0	553.8099999999999	1	1
1	68	3	3	80	255	192	203	1	1	0	0	273.63	1	1
1	69	3	3	80	255	192	203	1	1	0	0	32.309	1	1
1	70	3	5	80	0	0	128	3	2	0	0	277.77	0	0
1	71	3	4	80	0	255	0	4	2	0	0	197.44	1	1
1	72	3	6	80	255	165	0	5	2	0	0	262.45	1	1
1	73	3	1	80	128	0	0	6	2	0	0	104.12	1	1
1	74	3	4	80	0	255	0	4	2	0	0	31.376	1	1
1	75	3	4	80	0	255	0	4	2	0	0	16.367	1	1
1	76	3	5	80	0	0	128	3	2	0	0	321.75	0	0
1	77	3	5	80	0	0	128	3	1	0	0	128.84	1	1
1	78	3	5	80	0	0	128	3	1	0	0	59.67	0	1
