block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	2	2	50	0	255	255	1	0	0	1	0	-1	-1
1	2	2	6	80	255	0	0	5	1	0	0	561.1799999999999	0	1
1	3	2	6	80	255	0	0	5	0	1	1	0	-1	-1
1	4	2	4	80	0	0	255	3	1	0	0	263.8	0	1
1	5	2	2	50	0	255	255	1	1	0	0	687.11	1	1
1	6	2	4	80	0	0	255	3	2	0	0	361.92	0	0
1	7	2	6	80	255	0	0	5	1	0	0	499.49	1	1
1	8	2	3	50	255	255	0	4	2	0	0	405.94	0	1
1	9	2	3	50	255	255	0	4	0	0	1	0	-1	-1
1	10	2	1	50	255	192	203	2	2	0	0	749.0700000000001	0	1
1	11	2	6	80	255	0	0	5	1	0	0	549.41	1	1
1	12	2	4	80	0	0	255	3	2	0	0	323.62	0	0
1	13	2	4	80	0	0	255	3	1	0	0	331.93	1	1
1	14	2	4	80	0	0	255	3	1	0	0	533.9299999999999	0	1
1	15	2	2	50	0	255	255	1	2	0	0	592.46	1	0
1	16	2	6	80	255	0	0	5	1	0	0	272.04	1	1
1	17	2	5	80	255	165	0	6	2	0	0	736.22	1	1
1	18	2	1	50	255	192	203	2	1	0	0	969.97	1	0
1	19	2	2	50	0	255	255	1	2	0	0	372.35	1	0
1	20	2	6	80	255	0	0	5	1	0	0	203.25	1	1
1	21	2	1	50	255	192	203	2	1	0	0	1251.3	1	0
1	22	2	2	50	0	255	255	1	2	0	0	491.26	0	0
1	23	2	5	80	255	165	0	6	2	0	0	417.8	1	1
1	24	2	2	50	0	255	255	1	2	0	0	1697.7	1	0
1	25	2	1	50	255	192	203	2	1	0	0	1181.4	1	0
1	26	2	4	80	0	0	255	3	2	0	0	767.65	0	0
1	27	2	2	50	0	255	255	1	2	0	0	1681.4	1	0
1	28	2	1	50	255	192	203	2	1	0	0	1369.5	1	0
1	29	2	4	80	0	0	255	3	2	0	0	1310.3	0	0
1	30	2	2	50	0	255	255	1	2	0	0	336.83	0	0
1	31	2	2	50	0	255	255	1	0	1	1	0	-1	-1
1	32	2	1	50	255	192	203	2	1	0	0	0.5793199999999999	1	0
1	33	2	1	50	255	192	203	2	0	0	1	0	-1	-1
1	34	2	5	80	255	165	0	6	1	0	0	424.36	0	0
1	35	2	4	80	0	0	255	3	2	0	0	330.65	1	0
1	36	2	2	50	0	255	255	1	1	0	0	1227.7	0	1
1	37	2	5	80	255	165	0	6	2	0	0	1675.5	1	1
1	38	2	6	80	255	0	0	5	1	0	0	463.68	0	1
1	39	2	3	50	255	255	0	4	2	0	0	516.13	1	1
1	40	2	4	80	0	0	255	3	2	0	0	1441.9	1	0
1	41	2	5	80	255	165	0	6	2	0	0	1113.3	0	1
1	42	2	5	80	255	165	0	6	0	0	1	0	-1	-1
1	43	2	2	50	0	255	255	1	2	0	0	1172.2	1	0
1	44	2	5	80	255	165	0	6	2	0	0	1582.7	1	1
1	45	2	1	50	255	192	203	2	1	0	0	1154.6	1	0
1	46	2	6	80	255	0	0	5	1	0	0	783.25	1	1
1	47	2	2	50	0	255	255	1	2	0	0	1111	1	0
1	48	2	5	80	255	165	0	6	2	0	0	614.16	1	1
1	49	2	2	50	0	255	255	1	0	0	1	0	-1	-1
1	50	2	3	50	255	255	0	4	0	1	1	0	-1	-1
1	51	2	4	80	0	0	255	3	2	0	0	680.5	1	0
1	52	2	6	80	255	0	0	5	1	0	0	542.8	1	1
1	53	2	3	50	255	255	0	4	2	0	0	0.57733	1	1
1	54	2	5	80	255	165	0	6	2	0	0	452	1	1
1	55	2	2	50	0	255	255	1	2	0	0	874.26	1	0
1	56	2	6	80	255	0	0	5	1	0	0	316.97	1	1
1	57	2	2	50	0	255	255	1	2	0	0	221.63	1	0
1	58	2	1	50	255	192	203	2	1	0	0	506.13	1	0
1	59	2	2	50	0	255	255	1	2	0	0	332.45	0	0
1	60	2	3	50	255	255	0	4	2	0	0	537.26	1	1
1	61	2	6	80	255	0	0	5	1	0	0	231.2	1	1
1	62	2	3	50	255	255	0	4	0	0	1	0	-1	-1
1	63	2	3	50	255	255	0	4	2	0	0	258.19	0	1
1	64	2	3	50	255	255	0	4	1	0	0	1462.6	1	0
1	65	2	6	80	255	0	0	5	1	0	0	419.68	1	1
1	66	2	2	50	0	255	255	1	2	0	0	206.89	1	0
1	67	2	6	80	255	0	0	5	1	0	0	104.79	1	1
1	68	2	5	80	255	165	0	6	2	0	0	367.05	0	1
1	69	2	2	50	0	255	255	1	2	0	0	626.16	0	0
1	70	2	1	50	255	192	203	2	1	0	0	134.56	1	0
1	71	2	1	50	255	192	203	2	1	0	0	200.69	1	0
1	72	2	6	80	255	0	0	5	1	0	0	296.18	0	1
1	73	2	5	80	255	165	0	6	1	0	0	794.5	1	0
1	74	2	5	80	255	165	0	6	1	0	0	1142	1	0
1	75	2	2	50	0	255	255	1	2	0	0	260.14	0	0
1	76	2	1	50	255	192	203	2	1	0	0	160.75	0	0
1	77	2	5	80	255	165	0	6	2	0	0	1102.5	1	1
1	78	2	6	80	255	0	0	5	1	0	0	545.1799999999999	1	1
1	79	2	4	80	0	0	255	3	2	0	0	1133.1	0	0
1	80	2	4	80	0	0	255	3	1	0	0	1261.5	1	1
1	81	2	2	50	0	255	255	1	2	0	0	542.1799999999999	0	0
1	82	2	3	50	255	255	0	4	1	0	0	485.69	1	0
1	83	2	1	50	255	192	203	2	1	0	0	192.42	1	0
1	84	2	1	50	255	192	203	2	1	0	0	304.6	1	0
1	85	2	6	80	255	0	0	5	1	0	0	496.59	1	1
1	86	2	3	50	255	255	0	4	2	0	0	906.86	1	1
1	87	2	3	50	255	255	0	4	2	0	0	347.55	1	1
1	88	2	4	80	0	0	255	3	2	0	0	1362	0	0
1	89	2	6	80	255	0	0	5	1	0	0	266.32	1	1
1	90	2	1	50	255	192	203	2	0	1	1	0	-1	-1
1	91	2	5	80	255	165	0	6	2	0	0	812.91	1	1
1	92	2	1	50	255	192	203	2	1	0	0	498.1	0	0
1	93	2	6	80	255	0	0	5	1	0	0	301.05	0	1
1	94	2	3	50	255	255	0	4	1	0	0	763.77	0	0
1	95	2	3	50	255	255	0	4	2	0	0	336.63	1	1
1	96	2	1	50	255	192	203	2	1	0	0	1176.4	1	0
1	97	2	6	80	255	0	0	5	1	0	0	1128.6	1	1
1	98	2	5	80	255	165	0	6	2	0	0	1311.7	1	1
1	99	2	6	80	255	0	0	5	1	0	0	360.39	1	1
1	100	2	2	50	0	255	255	1	2	0	0	1217.5	0	0
