block	trial	task	cue	prob	red	green	blue	shape	response	early	invalid	rt	outcome	optimal
1	1	2	6	80	255	255	255	1	1	0	0	256.44	0	0
1	2	2	6	80	255	255	255	1	2	0	0	280.07	1	1
1	3	2	2	50	0	128	128	2	2	0	0	1003.2	1	0
1	4	2	4	80	0	255	255	6	1	0	0	460.04	0	1
1	5	2	6	80	255	255	255	1	2	0	0	172.29	1	1
1	6	2	6	80	255	255	255	1	2	0	0	442.42	1	1
1	7	2	1	50	128	0	128	4	1	0	0	328.62	0	1
1	8	2	6	80	255	255	255	1	2	0	0	256.61	1	1
1	9	2	6	80	255	255	255	1	2	0	0	465.59	1	1
1	10	2	2	50	0	128	128	2	2	0	0	528.23	1	0
1	11	2	5	80	128	0	0	5	1	0	0	313.01	0	0
1	12	2	5	80	128	0	0	5	2	0	0	315.49	0	1
1	13	2	4	80	0	255	255	6	2	0	0	531.23	1	0
1	14	2	5	80	128	0	0	5	2	0	0	528.3	0	1
1	15	2	1	50	128	0	128	4	2	0	0	346.36	0	0
1	16	2	2	50	0	128	128	2	2	0	0	641	0	0
1	17	2	6	80	255	255	255	1	2	0	0	520.38	1	1
1	18	2	3	50	0	0	0	3	1	0	0	359.37	1	0
1	19	2	1	50	128	0	128	4	1	0	0	324.68	1	1
1	20	2	6	80	255	255	255	1	2	0	0	440.37	1	1
1	21	2	1	50	128	0	128	4	1	0	0	296.78	0	1
1	22	2	3	50	0	0	0	3	1	0	0	268.03	1	0
1	23	2	4	80	0	255	255	6	2	0	0	450.24	0	0
1	24	2	5	80	128	0	0	5	1	0	0	570.01	1	0
1	25	2	4	80	0	255	255	6	1	0	0	251.06	1	1
1	26	2	1	50	128	0	128	4	1	0	0	333.97	1	1
1	27	2	2	50	0	128	128	2	2	0	0	267.35	1	0
1	28	2	4	80	0	255	255	6	1	0	0	267.76	0	1
1	29	2	2	50	0	128	128	2	2	0	0	243.11	1	0
1	30	2	2	50	0	128	128	2	2	0	0	480.21	0	0
1	31	2	3	50	0	0	0	3	1	0	0	182.75	0	0
1	32	2	5	80	128	0	0	5	1	0	0	224.41	1	0
1	33	2	3	50	0	0	0	3	1	0	0	290.84	0	0
1	34	2	3	50	0	0	0	3	2	0	0	371.42	0	1
1	35	2	3	50	0	0	0	3	1	0	0	374.27	1	0
1	36	2	4	80	0	255	255	6	1	0	0	302.4	0	1
1	37	2	6	80	255	255	255	1	2	0	0	352.64	1	1
1	38	2	3	50	0	0	0	3	1	0	0	334.06	0	0
1	39	2	5	80	128	0	0	5	1	0	0	349.82	1	0
1	40	2	5	80	128	0	0	5	1	0	0	304.08	0	0
1	41	2	1	50	128	0	128	4	1	0	0	313.66	1	1
1	42	2	5	80	128	0	0	5	1	0	0	360.87	0	0
1	43	2	6	80	255	255	255	1	2	0	0	419.64	1	1
1	44	2	4	80	0	255	255	6	1	0	0	459.23	1	1
1	45	2	3	50	0	0	0	3	2	0	0	674.78	0	1
1	46	2	6	80	255	255	255	1	2	0	0	568.45	0	1
1	47	2	5	80	128	0	0	5	1	0	0	230.21	1	0
1	48	2	2	50	0	128	128	2	2	0	0	207.38	1	0
1	49	2	4	80	0	255	255	6	0	0	1	0	-1	-1
1	50	2	3	50	0	0	0	3	1	0	0	200.63	1	0
